iter	RMSE
0	80.62020949
1	78.85723322
2	77.09206593
3	75.43007849
4	73.93960336
5	72.59192852
6	71.38806016
7	70.23215784
8	69.16710451
9	68.18130885
10	67.14515267
11	66.39671991
12	65.62712255
13	64.73909123
14	63.97988465
15	63.30660072
16	62.5771527
17	61.80114719
18	61.33795819
19	60.78520433
20	60.2608429
21	59.81172619
22	59.33574478
23	58.85103453
24	58.35699081
25	57.95565509
26	57.45665634
27	57.13654929
28	56.76553143
29	56.28472552
30	55.90298455
31	55.54261578
32	55.23528973
33	54.87654826
34	54.48710798
35	54.20698153
36	53.8402948
37	53.61542047
38	53.32755753
39	53.04831988
40	52.79522478
41	52.4570614
42	52.14516054
43	51.78647111
44	51.5101875
45	51.33647926
46	51.14859251
47	50.93630479
48	50.70209605
49	50.40315185
50	50.13643213
51	49.94534156
52	49.75627577
53	49.53758081
54	49.1891901
55	49.01907652
56	48.90245647
57	48.76806141
58	48.53288554
59	48.34480316
60	48.14879693
61	47.91185161
62	47.7279435
63	47.52602717
64	47.32931576
65	47.2007917
66	47.09144161
67	46.95234192
68	46.85656149
69	46.63774986
70	46.58499147
71	46.39541447
72	46.31034726
73	46.1326965
74	46.04579889
75	45.87977696
76	45.76720181
77	45.60659856
78	45.47774809
79	45.29856106
80	45.08242825
81	44.98180244
82	44.86963053
83	44.73309129
84	44.58207193
85	44.48548099
86	44.39374297
87	44.28644671
88	44.1090972
89	44.00233874
90	43.82213494
91	43.70796144
92	43.55045212
93	43.27813725
94	43.18133419
95	42.99305885
96	42.94232837
97	42.7343947
98	42.61871696
99	42.50387993
100	42.40841771
101	42.25204007
102	42.17017395
103	42.04221911
104	41.94306207
105	41.8036113
106	41.65673494
107	41.50027274
108	41.3881051
109	41.16963468
110	41.12320866
111	40.96893328
112	40.93886871
113	40.87570032
114	40.73800994
115	40.61170134
116	40.5293727
117	40.3240031
118	40.2677984
119	40.19714522
120	40.03683289
121	39.9278335
122	39.85068051
123	39.73405495
124	39.63556786
125	39.55100379
126	39.38794535
127	39.28422664
128	39.23965081
129	39.10247676
130	39.01715486
131	38.95426095
132	38.78784754
133	38.72918667
134	38.6362207
135	38.51596965
136	38.45692913
137	38.34859811
138	38.27181388
139	38.13550377
140	38.00153184
141	37.9029823
142	37.72088131
143	37.61398452
144	37.47944177
145	37.39905122
146	37.3465315
147	37.27809359
148	37.16982914
149	37.06003205
150	36.98713356
151	36.90263942
152	36.80382912
153	36.70602674
154	36.62159999
155	36.51672421
156	36.42564401
157	36.35918408
158	36.30207327
159	36.23633042
160	36.09954016
161	35.97156788
162	35.83773652
163	35.71999085
164	35.57007832
165	35.49214028
166	35.40793091
167	35.33953045
168	35.29008967
169	35.20187962
170	35.08352827
171	35.02680023
172	34.96452251
173	34.83596141
174	34.67260259
175	34.58456889
176	34.52817793
177	34.46957816
178	34.36111418
179	34.30553358
180	34.20261795
181	34.10819853
182	34.02507017
183	33.94953759
184	33.87864765
185	33.83139193
186	33.73806857
187	33.63729634
188	33.55778734
189	33.50781676
190	33.37635044
191	33.30536356
192	33.18638318
193	33.12737205
194	33.00773744
195	32.94353392
196	32.89476245
197	32.8104822
198	32.71751115
199	32.67472353
200	32.60084289
201	32.55876327
202	32.4762245
203	32.42467783
204	32.36665902
205	32.28446391
206	32.15688241
207	32.03985415
208	31.96631985
209	31.92033799
210	31.85131089
211	31.69409624
212	31.60551186
213	31.53340646
214	31.42375681
215	31.35928438
216	31.30255524
217	31.26985627
218	31.17122825
219	31.08029524
220	30.96749101
221	30.90166599
222	30.86674229
223	30.82563425
224	30.76658758
225	30.68892113
226	30.6371599
227	30.53534893
228	30.45418776
229	30.41743443
230	30.37065394
231	30.33595442
232	30.27318708
233	30.18783192
234	30.07146368
235	29.98622939
236	29.95649036
237	29.90188547
238	29.86150236
239	29.78012717
240	29.68741498
241	29.61644611
242	29.54116639
243	29.48458973
244	29.4145446
245	29.37735476
246	29.29261004
247	29.26418836
248	29.19238073
249	29.12722268
250	29.06764575
251	29.00402718
252	28.97864189
253	28.90718234
254	28.85983559
255	28.78204138
