iter	Passed	Remaining
408	2499	3611
409	2503	3603
410	2508	3594
411	2513	3587
412	2518	3579
413	2523	3571
414	2527	3563
415	2533	3556
416	2537	3548
417	2543	3541
418	2547	3532
419	2552	3524
420	2557	3517
421	2561	3508
422	2566	3500
423	2570	3492
424	2575	3483
425	2579	3475
426	2583	3467
427	2588	3458
428	2592	3451
429	2597	3442
430	2601	3434
431	2606	3426
432	2610	3418
433	2615	3410
434	2619	3402
435	2624	3394
436	2628	3386
437	2633	3378
438	2637	3370
439	2642	3362
440	2646	3354
441	2651	3347
442	2655	3338
443	2660	3331
444	2666	3325
445	2671	3317
446	2675	3310
447	2680	3302
448	2685	3295
449	2689	3287
450	2694	3280
451	2700	3273
452	2705	3267
453	2710	3260
454	2716	3253
455	2721	3246
456	2726	3239
457	2731	3232
458	2735	3224
459	2740	3217
460	2746	3211
461	2751	3204
462	2756	3196
463	2760	3189
464	2765	3182
465	2770	3174
466	2775	3167
467	2780	3160
468	2785	3153
469	2789	3146
470	2794	3138
471	2800	3132
472	2805	3125
473	2809	3118
474	2815	3112
475	2820	3105
476	2825	3098
477	2834	3095
478	2839	3088
479	2845	3082
480	2850	3075
481	2854	3067
482	2859	3060
483	2863	3053
484	2868	3045
485	2873	3039
486	2878	3032
487	2882	3024
488	2887	3017
489	2893	3011
490	2898	3004
491	2903	2998
492	2909	2991
493	2913	2984
494	2918	2977
495	2923	2970
496	2927	2963
497	2932	2956
498	2937	2948
499	2941	2941
500	2945	2933
501	2950	2926
502	2953	2918
503	2958	2911
504	2963	2904
505	2967	2897
506	2972	2890
507	2976	2882
508	2980	2875
509	2985	2867
510	2988	2860
511	2993	2852
512	2997	2845
513	3001	2838
514	3006	2831
515	3011	2824
516	3015	2817
517	3020	2810
518	3025	2803
519	3029	2796
520	3033	2788
521	3037	2781
522	3042	2774
523	3046	2767
524	3051	2760
525	3055	2753
526	3059	2746
527	3064	2739
528	3068	2731
529	3073	2725
530	3077	2717
531	3081	2710
532	3086	2704
533	3090	2696
534	3094	2689
535	3100	2684
536	3105	2677
537	3110	2670
538	3114	2663
539	3118	2656
540	3123	2649
541	3127	2642
542	3132	2636
543	3136	2629
544	3140	2622
545	3145	2615
546	3150	2608
547	3154	2601
548	3158	2594
549	3163	2587
550	3167	2581
551	3171	2574
552	3176	2567
553	3180	2560
554	3184	2553
555	3188	2546
556	3193	2539
557	3197	2532
558	3201	2525
559	3206	2519
560	3210	2512
561	3214	2505
562	3219	2498
563	3223	2491
564	3227	2484
565	3231	2478
566	3236	2471
567	3239	2463
568	3243	2456
569	3247	2449
570	3251	2442
571	3255	2435
572	3259	2429
573	3264	2422
574	3268	2415
575	3272	2409
576	3277	2402
577	3281	2396
578	3286	2389
579	3291	2383
580	3295	2376
581	3299	2369
582	3304	2363
583	3308	2356
584	3313	2350
585	3317	2343
586	3321	2337
587	3326	2330
588	3330	2324
589	3335	2317
590	3339	2311
591	3344	2305
592	3348	2298
593	3353	2292
594	3358	2285
595	3361	2278
596	3365	2272
597	3370	2265
598	3374	2259
599	3379	2253
600	3384	2246
601	3388	2239
602	3392	2233
603	3397	2227
604	3401	2220
605	3406	2214
606	3410	2208
607	3414	2201
608	3419	2195
609	3423	2188
610	3427	2182
611	3432	2176
612	3437	2170
613	3441	2163
614	3446	2157
615	3450	2150
616	3454	2144
617	3459	2138
618	3463	2131
619	3467	2125
620	3472	2119
621	3476	2112
622	3480	2106
623	3484	2099
624	3488	2093
625	3493	2087
626	3498	2080
627	3502	2074
628	3506	2068
629	3511	2062
630	3516	2056
631	3520	2050
632	3525	2044
633	3530	2037
634	3535	2032
635	3540	2026
636	3545	2020
637	3549	2014
638	3554	2008
639	3558	2001
640	3562	1995
641	3567	1989
642	3571	1982
643	3575	1976
644	3580	1970
645	3584	1964
646	3588	1957
647	3593	1951
648	3597	1945
649	3602	1939
650	3607	1933
651	3611	1927
652	3615	1921
653	3620	1915
654	3625	1909
655	3629	1903
656	3633	1896
657	3638	1891
658	3642	1884
659	3647	1879
660	3651	1872
661	3656	1866
662	3660	1860
663	3665	1854
664	3669	1848
665	3674	1842
666	3677	1836
667	3682	1830
668	3686	1823
669	3690	1817
670	3694	1811
671	3698	1805
672	3702	1799
673	3707	1793
674	3712	1787
675	3716	1781
676	3720	1775
677	3724	1768
678	3729	1762
679	3733	1757
680	3738	1750
681	3742	1745
682	3748	1739
683	3752	1733
684	3757	1727
685	3761	1721
686	3766	1716
687	3771	1710
688	3776	1704
689	3781	1698
690	3785	1692
691	3789	1686
692	3794	1680
693	3799	1675
694	3803	1669
695	3808	1663
696	3812	1657
697	3817	1651
698	3821	1645
699	3826	1639
700	3830	1633
701	3835	1627
702	3839	1622
703	3843	1616
704	3847	1610
705	3852	1604
706	3857	1598
707	3861	1592
708	3866	1587
709	3870	1581
710	3874	1575
711	3879	1569
712	3883	1563
713	3888	1557
714	3892	1551
715	3896	1545
716	3901	1540
717	3905	1534
718	3909	1527
719	3914	1522
720	3918	1516
721	3922	1510
722	3927	1504
723	3931	1498
724	3936	1493
725	3941	1487
726	3945	1481
727	3950	1475
728	3954	1470
729	3958	1464
730	3963	1458
731	3967	1452
732	3971	1446
733	3976	1441
734	3980	1435
735	3984	1429
736	3989	1423
737	3994	1418
738	3998	1412
739	4002	1406
740	4007	1400
741	4012	1395
742	4017	1389
743	4021	1383
744	4026	1378
745	4030	1372
746	4035	1366
747	4040	1361
748	4044	1355
749	4048	1349
750	4053	1343
751	4057	1338
752	4062	1332
753	4066	1326
754	4070	1320
755	4075	1315
756	4079	1309
757	4084	1303
758	4089	1298
759	4094	1292
760	4098	1287
761	4103	1281
762	4107	1275
763	4112	1270
764	4116	1264
765	4120	1258
766	4125	1253
767	4129	1247
768	4133	1241
769	4138	1236
770	4143	1230
771	4147	1224
772	4151	1219
773	4155	1213
774	4159	1207
775	4163	1201
776	4168	1196
777	4172	1190
778	4176	1184
779	4180	1179
780	4185	1173
781	4189	1168
782	4194	1162
783	4198	1156
784	4202	1151
785	4207	1145
786	4211	1139
787	4216	1134
788	4221	1128
789	4225	1123
790	4230	1117
791	4234	1112
792	4238	1106
793	4243	1100
794	4248	1095
795	4252	1089
796	4257	1084
797	4261	1078
798	4265	1073
799	4269	1067
800	4273	1061
801	4278	1056
802	4283	1050
803	4287	1045
804	4291	1039
805	4295	1033
806	4300	1028
807	4305	1022
808	4309	1017
809	4313	1011
810	4317	1006
811	4322	1000
812	4327	995
813	4331	989
814	4336	984
815	4340	978
816	4344	973
817	4349	967
818	4353	962
819	4358	956
820	4363	951
821	4367	945
822	4371	940
823	4375	934
824	4379	928
825	4383	923
826	4387	917
827	4391	912
828	4395	906
829	4399	901
830	4403	895
831	4407	889
832	4411	884
833	4415	878
834	4419	873
835	4423	867
836	4427	862
837	4431	856
838	4435	851
839	4439	845
840	4443	840
841	4447	834
842	4451	829
843	4456	823
844	4459	818
845	4463	812
846	4467	807
847	4472	801
848	4476	796
849	4480	790
850	4484	785
851	4488	779
852	4492	774
853	4496	768
854	4499	763
855	4504	757
856	4508	752
857	4512	746
858	4516	741
859	4520	735
860	4524	730
861	4528	725
862	4532	719
863	4537	714
864	4541	708
865	4545	703
866	4551	698
867	4556	692
868	4561	687
869	4565	682
870	4570	676
871	4574	671
872	4578	666
873	4582	660
874	4586	655
875	4590	649
876	4594	644
877	4598	638
878	4603	633
879	4606	628
880	4611	622
881	4615	617
882	4619	612
883	4624	606
884	4628	601
885	4632	595
886	4636	590
887	4640	585
888	4644	579
889	4648	574
890	4652	569
891	4657	563
892	4660	558
893	4665	553
894	4669	547
895	4672	542
896	4676	537
897	4680	531
898	4685	526
899	4689	521
900	4692	515
901	4697	510
902	4700	504
903	4705	499
904	4709	494
905	4713	489
906	4717	483
907	4721	478
908	4725	473
909	4729	467
910	4734	462
911	4739	457
912	4742	451
913	4746	446
914	4751	441
915	4755	436
916	4758	430
917	4762	425
918	4767	420
919	4772	415
920	4776	409
921	4780	404
922	4784	399
923	4788	393
924	4791	388
925	4795	383
926	4799	377
927	4803	372
928	4807	367
929	4811	362
930	4817	357
931	4822	351
932	4827	346
933	4832	341
934	4837	336
935	4841	331
936	4846	325
937	4851	320
938	4857	315
939	4863	310
940	4872	305
941	4878	300
942	4884	295
943	4890	290
944	4896	284
945	4900	279
946	4905	274
947	4910	269
948	4916	264
949	4923	259
950	4927	253
